Jno,Name,Position,Mins_played,Matchs,Start,Yellow,Red,Substitute,Subbed_off,Two_yellow,Goals,Penalty,Own_goals,Goals_conceded,Ratings,pos
22,S. Bueno,Defender,3012,34,34,5,1,0,1,1,0,0,0,48,6.87,1
22,Turrientes,Midfielder,101,6,1,0,0,5,1,0,0,0,0,2,6.55,2
23,Amath,Forward,1218,28,12,2,1,16,8,0,2,0,0,14,6.47,3
23,Ander Herrera,Midfielder,698,17,9,4,1,8,10,0,0,0,0,10,6.71,2
23,Brais Méndez,Midfielder,2416,34,28,6,0,6,16,0,8,0,0,25,7.04,2
23,De La Torre,Midfielder,1488,28,16,6,0,12,14,0,0,0,0,17,6.59,2
23,F. Mendy,Defender,1359,18,17,2,0,1,11,0,0,0,0,17,6.68,1
23,Kounde,Defender,2428,29,28,2,0,1,4,0,1,0,1,12,7.1,1
23,Luis Hernández,Defender,3149,35,35,6,1,0,0,1,0,0,0,46,6.9,1
23,Mandi,Defender,1459,21,16,1,0,5,3,0,0,0,0,17,6.87,1
23,Marcao,Defender,374,5,4,2,0,1,0,0,0,0,0,5,6.84,1
23,Mitrovic,Defender,1677,22,18,4,0,4,2,0,0,0,0,17,6.7,1
23,Óscar,Midfielder,2563,34,29,11,0,5,16,0,0,0,0,33,6.74,2
23,Reinildo,Defender,1860,22,22,4,0,0,4,0,0,0,0,17,7.01,1
23,Sabaly,Defender,1680,23,19,2,0,4,5,0,1,0,0,18,6.9,1
23,Samu,Midfielder,1985,32,22,5,0,10,7,0,1,0,0,47,6.79,2
24,A. Pedraza,Midfielder,1636,26,20,5,0,6,9,0,0,0,0,15,6.78,2
24,Aitor Ruibal,Defender,1452,26,15,4,1,11,6,0,0,0,0,13,6.72,1
24,Barrios,Midfielder,714,21,6,4,0,15,5,0,0,0,0,9,6.64,2
24,Cömert,Defender,1675,23,19,5,1,4,3,0,1,0,0,22,6.91,1
24,Eric,Defender,1414,24,15,3,0,9,5,0,1,0,0,10,6.92,1
24,F. San Emeterio,Midfielder,1855,33,24,14,0,9,21,0,0,0,0,23,6.63,2
24,Gabri Veiga,Midfielder,2308,36,28,6,1,8,24,0,11,0,0,30,6.96,2
24,Le Normand,Defender,2794,33,31,6,0,2,1,0,0,0,1,25,6.92,1
24,Mendes,Defender,887,14,11,2,0,3,7,0,0,0,0,28,6.2,1
24,Papu Gomez,Midfielder,1063,19,11,4,0,8,6,0,1,0,0,15,6.82,2
24,Valjent,Defender,2659,30,30,8,0,0,3,0,0,0,0,33,6.89,1
25,Callens,Defender,117,6,0,1,0,6,0,0,0,0,0,0,6.65,1
25,Mamardashvili,Goalkeeper,3420,38,38,3,0,0,0,0,0,0,0,45,6.82,0
25,R.d.t,Forward,804,19,9,2,0,10,9,0,4,1,0,13,6.82,3
25,Sadiq,Forward,83,2,1,0,0,1,1,0,1,0,0,0,6.72,3
26,C. Dominguez,Defender,107,3,1,0,0,2,0,0,0,0,0,1,6.7,1
28,Balde,Defender,2476,33,30,4,0,3,9,0,1,0,0,15,6.89,1
28,Rodri,Midfielder,1606,30,19,0,0,11,16,0,2,0,0,15,6.83,2
29,Adu Ares,Forward,76,8,0,0,0,8,0,0,0,0,0,3,6.75,3
29,Gayà,Defender,52,2,1,0,0,1,1,0,0,0,0,2,6.6,1
29,Juan Cruz,Midfielder,174,6,1,1,0,5,1,0,1,0,0,2,6.53,2
29,Miguel,Forward,250,7,3,0,0,4,3,0,1,0,0,4,6.69,3
31,Paredes,Defender,854,16,9,3,0,7,1,0,0,0,1,18,6.7,1
32,Chust,Defender,964,14,10,3,0,4,2,0,1,0,0,20,6.63,1
32,Pablo Torre,Midfielder,138,8,1,0,0,7,1,0,0,0,0,2,6.61,2
33,Cristhian,Defender,143,3,1,0,0,2,0,0,0,0,0,2,6.63,1
33,Miranda,Defender,1475,21,16,1,1,5,5,0,3,0,0,18,6.97,1
35,Jörgensen,Goalkeeper,180,2,2,0,0,0,0,0,0,0,0,3,6.35,0
36,J. Guerra,Midfielder,603,10,6,0,0,4,1,0,1,0,0,6,6.64,2
39,Álvaro,Forward,75,6,0,0,0,6,0,0,1,0,0,2,6.78,3
39,R. Terrats,Midfielder,824,16,11,1,0,5,11,0,1,0,0,9,6.74,2
40,Diego López,Forward,448,10,5,0,0,5,5,0,3,0,0,6,6.83,3
41,Mwepu,Midfielder,20,1,0,0,0,1,0,0,0,0,0,0,6.6,2
42,Marin,Midfielder,356,10,3,1,0,7,3,0,0,0,0,4,6.64,2
